,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
53,20/04/2020,20,4,2020,88,3,Afghanistan,AF,AFG,37172386.0,Asia
54,19/04/2020,19,4,2020,63,0,Afghanistan,AF,AFG,37172386.0,Asia
55,18/04/2020,18,4,2020,51,1,Afghanistan,AF,AFG,37172386.0,Asia
56,17/04/2020,17,4,2020,10,4,Afghanistan,AF,AFG,37172386.0,Asia
57,16/04/2020,16,4,2020,70,2,Afghanistan,AF,AFG,37172386.0,Asia
58,15/04/2020,15,4,2020,49,2,Afghanistan,AF,AFG,37172386.0,Asia
59,14/04/2020,14,4,2020,58,3,Afghanistan,AF,AFG,37172386.0,Asia
60,13/04/2020,13,4,2020,52,0,Afghanistan,AF,AFG,37172386.0,Asia
61,12/04/2020,12,4,2020,34,3,Afghanistan,AF,AFG,37172386.0,Asia
62,11/04/2020,11,4,2020,37,0,Afghanistan,AF,AFG,37172386.0,Asia
63,10/04/2020,10,4,2020,61,1,Afghanistan,AF,AFG,37172386.0,Asia
64,09/04/2020,9,4,2020,56,3,Afghanistan,AF,AFG,37172386.0,Asia
65,08/04/2020,8,4,2020,30,4,Afghanistan,AF,AFG,37172386.0,Asia
66,07/04/2020,7,4,2020,38,0,Afghanistan,AF,AFG,37172386.0,Asia
67,06/04/2020,6,4,2020,29,2,Afghanistan,AF,AFG,37172386.0,Asia
68,05/04/2020,5,4,2020,35,1,Afghanistan,AF,AFG,37172386.0,Asia
69,04/04/2020,4,4,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
70,03/04/2020,3,4,2020,43,0,Afghanistan,AF,AFG,37172386.0,Asia
71,02/04/2020,2,4,2020,26,0,Afghanistan,AF,AFG,37172386.0,Asia
72,01/04/2020,1,4,2020,25,0,Afghanistan,AF,AFG,37172386.0,Asia
73,31/03/2020,31,3,2020,27,0,Afghanistan,AF,AFG,37172386.0,Asia
74,30/03/2020,30,3,2020,8,1,Afghanistan,AF,AFG,37172386.0,Asia
75,29/03/2020,29,3,2020,15,1,Afghanistan,AF,AFG,37172386.0,Asia
76,28/03/2020,28,3,2020,16,1,Afghanistan,AF,AFG,37172386.0,Asia
77,27/03/2020,27,3,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
78,26/03/2020,26,3,2020,33,0,Afghanistan,AF,AFG,37172386.0,Asia
79,25/03/2020,25,3,2020,2,0,Afghanistan,AF,AFG,37172386.0,Asia
80,24/03/2020,24,3,2020,6,1,Afghanistan,AF,AFG,37172386.0,Asia
81,23/03/2020,23,3,2020,10,0,Afghanistan,AF,AFG,37172386.0,Asia
82,22/03/2020,22,3,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
83,21/03/2020,21,3,2020,2,0,Afghanistan,AF,AFG,37172386.0,Asia
84,20/03/2020,20,3,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
85,19/03/2020,19,3,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
86,18/03/2020,18,3,2020,1,0,Afghanistan,AF,AFG,37172386.0,Asia
87,17/03/2020,17,3,2020,5,0,Afghanistan,AF,AFG,37172386.0,Asia
88,16/03/2020,16,3,2020,6,0,Afghanistan,AF,AFG,37172386.0,Asia
89,15/03/2020,15,3,2020,3,0,Afghanistan,AF,AFG,37172386.0,Asia
90,11/03/2020,11,3,2020,3,0,Afghanistan,AF,AFG,37172386.0,Asia
91,08/03/2020,8,3,2020,3,0,Afghanistan,AF,AFG,37172386.0,Asia
92,02/03/2020,2,3,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
93,01/03/2020,1,3,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
94,29/02/2020,29,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
95,28/02/2020,28,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
96,27/02/2020,27,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
97,26/02/2020,26,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
98,25/02/2020,25,2,2020,1,0,Afghanistan,AF,AFG,37172386.0,Asia
99,24/02/2020,24,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
100,23/02/2020,23,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
101,22/02/2020,22,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
102,21/02/2020,21,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
103,20/02/2020,20,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
104,19/02/2020,19,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
105,18/02/2020,18,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
106,17/02/2020,17,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
107,16/02/2020,16,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
108,15/02/2020,15,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
109,14/02/2020,14,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
110,13/02/2020,13,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
111,12/02/2020,12,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
112,11/02/2020,11,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
113,10/02/2020,10,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
114,09/02/2020,9,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
115,08/02/2020,8,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
116,07/02/2020,7,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
117,06/02/2020,6,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
118,05/02/2020,5,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
119,04/02/2020,4,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
120,03/02/2020,3,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
121,02/02/2020,2,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
122,01/02/2020,1,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
123,31/01/2020,31,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
124,30/01/2020,30,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
125,29/01/2020,29,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
126,28/01/2020,28,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
127,27/01/2020,27,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
128,26/01/2020,26,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
129,25/01/2020,25,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
130,24/01/2020,24,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
131,23/01/2020,23,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
132,22/01/2020,22,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
133,21/01/2020,21,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
134,20/01/2020,20,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
135,19/01/2020,19,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
136,18/01/2020,18,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
137,17/01/2020,17,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
138,16/01/2020,16,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
139,15/01/2020,15,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
140,14/01/2020,14,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
141,13/01/2020,13,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
142,12/01/2020,12,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
143,11/01/2020,11,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
144,10/01/2020,10,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
145,09/01/2020,9,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
146,08/01/2020,8,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
147,07/01/2020,7,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
148,06/01/2020,6,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
149,05/01/2020,5,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
150,04/01/2020,4,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
151,03/01/2020,3,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
152,02/01/2020,2,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
153,01/01/2020,1,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
154,31/12/2019,31,12,2019,0,0,Afghanistan,AF,AFG,37172386.0,Asia
155,12/06/2020,12,6,2020,44,1,Albania,AL,ALB,2866376.0,Europe
156,11/06/2020,11,6,2020,42,0,Albania,AL,ALB,2866376.0,Europe
157,10/06/2020,10,6,2020,36,0,Albania,AL,ALB,2866376.0,Europe
158,09/06/2020,9,6,2020,17,0,Albania,AL,ALB,2866376.0,Europe
159,08/06/2020,8,6,2020,14,0,Albania,AL,ALB,2866376.0,Europe
160,07/06/2020,7,6,2020,20,1,Albania,AL,ALB,2866376.0,Europe
161,06/06/2020,6,6,2020,15,0,Albania,AL,ALB,2866376.0,Europe
162,05/06/2020,5,6,2020,13,0,Albania,AL,ALB,2866376.0,Europe
163,04/06/2020,4,6,2020,20,0,Albania,AL,ALB,2866376.0,Europe
164,03/06/2020,3,6,2020,21,0,Albania,AL,ALB,2866376.0,Europe
165,02/06/2020,2,6,2020,6,0,Albania,AL,ALB,2866376.0,Europe
166,01/06/2020,1,6,2020,15,0,Albania,AL,ALB,2866376.0,Europe
167,31/05/2020,31,5,2020,23,0,Albania,AL,ALB,2866376.0,Europe
168,30/05/2020,30,5,2020,23,0,Albania,AL,ALB,2866376.0,Europe
169,29/05/2020,29,5,2020,26,0,Albania,AL,ALB,2866376.0,Europe
170,28/05/2020,28,5,2020,21,0,Albania,AL,ALB,2866376.0,Europe
171,27/05/2020,27,5,2020,25,1,Albania,AL,ALB,2866376.0,Europe
172,26/05/2020,26,5,2020,6,0,Albania,AL,ALB,2866376.0,Europe
173,25/05/2020,25,5,2020,9,1,Albania,AL,ALB,2866376.0,Europe
174,24/05/2020,24,5,2020,8,0,Albania,AL,ALB,2866376.0,Europe
175,23/05/2020,23,5,2020,12,0,Albania,AL,ALB,2866376.0,Europe
176,22/05/2020,22,5,2020,5,0,Albania,AL,ALB,2866376.0,Europe
177,21/05/2020,21,5,2020,15,0,Albania,AL,ALB,2866376.0,Europe
178,20/05/2020,20,5,2020,1,0,Albania,AL,ALB,2866376.0,Europe
179,19/05/2020,19,5,2020,2,0,Albania,AL,ALB,2866376.0,Europe
180,18/05/2020,18,5,2020,13,0,Albania,AL,ALB,2866376.0,Europe
181,17/05/2020,17,5,2020,17,0,Albania,AL,ALB,2866376.0,Europe
182,16/05/2020,16,5,2020,18,0,Albania,AL,ALB,2866376.0,Europe
183,15/05/2020,15,5,2020,18,0,Albania,AL,ALB,2866376.0,Europe
184,14/05/2020,14,5,2020,4,0,Albania,AL,ALB,2866376.0,Europe
185,13/05/2020,13,5,2020,4,0,Albania,AL,ALB,2866376.0,Europe
186,12/05/2020,12,5,2020,4,0,Albania,AL,ALB,2866376.0,Europe
187,11/05/2020,11,5,2020,12,0,Albania,AL,ALB,2866376.0,Europe
188,10/05/2020,10,5,2020,6,0,Albania,AL,ALB,2866376.0,Europe
189,09/05/2020,9,5,2020,8,0,Albania,AL,ALB,2866376.0,Europe
190,08/05/2020,8,5,2020,10,0,Albania,AL,ALB,2866376.0,Europe
191,07/05/2020,7,5,2020,12,0,Albania,AL,ALB,2866376.0,Europe
192,06/05/2020,6,5,2020,17,0,Albania,AL,ALB,2866376.0,Europe
193,05/05/2020,5,5,2020,8,0,Albania,AL,ALB,2866376.0,Europe
194,04/05/2020,4,5,2020,6,0,Albania,AL,ALB,2866376.0,Europe
195,03/05/2020,3,5,2020,7,0,Albania,AL,ALB,2866376.0,Europe
196,02/05/2020,2,5,2020,9,0,Albania,AL,ALB,2866376.0,Europe
197,01/05/2020,1,5,2020,7,0,Albania,AL,ALB,2866376.0,Europe
198,30/04/2020,30,4,2020,16,1,Albania,AL,ALB,2866376.0,Europe
199,29/04/2020,29,4,2020,14,2,Albania,AL,ALB,2866376.0,Europe
200,28/04/2020,28,4,2020,10,0,Albania,AL,ALB,2866376.0,Europe
201,27/04/2020,27,4,2020,14,1,Albania,AL,ALB,2866376.0,Europe
202,26/04/2020,26,4,2020,34,0,Albania,AL,ALB,2866376.0,Europe
203,25/04/2020,25,4,2020,15,0,Albania,AL,ALB,2866376.0,Europe
204,24/04/2020,24,4,2020,29,0,Albania,AL,ALB,2866376.0,Europe
205,23/04/2020,23,4,2020,25,1,Albania,AL,ALB,2866376.0,Europe
206,22/04/2020,22,4,2020,25,0,Albania,AL,ALB,2866376.0,Europe
207,21/04/2020,21,4,2020,22,0,Albania,AL,ALB,2866376.0,Europe
208,20/04/2020,20,4,2020,14,0,Albania,AL,ALB,2866376.0,Europe
209,19/04/2020,19,4,2020,9,0,Albania,AL,ALB,2866376.0,Europe
210,18/04/2020,18,4,2020,21,0,Albania,AL,ALB,2866376.0,Europe
211,17/04/2020,17,4,2020,24,1,Albania,AL,ALB,2866376.0,Europe
212,16/04/2020,16,4,2020,19,1,Albania,AL,ALB,2866376.0,Europe
213,15/04/2020,15,4,2020,8,1,Albania,AL,ALB,2866376.0,Europe
214,14/04/2020,14,4,2020,21,0,Albania,AL,ALB,2866376.0,Europe
215,13/04/2020,13,4,2020,13,0,Albania,AL,ALB,2866376.0,Europe
216,12/04/2020,12,4,2020,17,0,Albania,AL,ALB,2866376.0,Europe
217,11/04/2020,11,4,2020,7,0,Albania,AL,ALB,2866376.0,Europe
218,10/04/2020,10,4,2020,9,1,Albania,AL,ALB,2866376.0,Europe
219,09/04/2020,9,4,2020,17,0,Albania,AL,ALB,2866376.0,Europe
220,08/04/2020,8,4,2020,6,0,Albania,AL,ALB,2866376.0,Europe
221,07/04/2020,7,4,2020,16,1,Albania,AL,ALB,2866376.0,Europe
222,06/04/2020,6,4,2020,28,2,Albania,AL,ALB,2866376.0,Europe
223,05/04/2020,5,4,2020,29,2,Albania,AL,ALB,2866376.0,Europe
224,04/04/2020,4,4,2020,27,1,Albania,AL,ALB,2866376.0,Europe
225,03/04/2020,3,4,2020,18,1,Albania,AL,ALB,2866376.0,Europe
226,02/04/2020,2,4,2020,16,0,Albania,AL,ALB,2866376.0,Europe
227,01/04/2020,1,4,2020,20,3,Albania,AL,ALB,2866376.0,Europe
228,31/03/2020,31,3,2020,11,2,Albania,AL,ALB,2866376.0,Europe
229,30/03/2020,30,3,2020,15,0,Albania,AL,ALB,2866376.0,Europe
230,29/03/2020,29,3,2020,11,1,Albania,AL,ALB,2866376.0,Europe
231,28/03/2020,28,3,2020,12,3,Albania,AL,ALB,2866376.0,Europe
232,27/03/2020,27,3,2020,28,1,Albania,AL,ALB,2866376.0,Europe
233,26/03/2020,26,3,2020,23,0,Albania,AL,ALB,2866376.0,Europe
234,25/03/2020,25,3,2020,23,1,Albania,AL,ALB,2866376.0,Europe
235,24/03/2020,24,3,2020,11,2,Albania,AL,ALB,2866376.0,Europe
236,23/03/2020,23,3,2020,13,0,Albania,AL,ALB,2866376.0,Europe
237,22/03/2020,22,3,2020,6,0,Albania,AL,ALB,2866376.0,Europe
238,21/03/2020,21,3,2020,0,0,Albania,AL,ALB,2866376.0,Europe
239,20/03/2020,20,3,2020,11,0,Albania,AL,ALB,2866376.0,Europe
240,19/03/2020,19,3,2020,4,1,Albania,AL,ALB,2866376.0,Europe
241,18/03/2020,18,3,2020,4,0,Albania,AL,ALB,2866376.0,Europe
242,17/03/2020,17,3,2020,9,0,Albania,AL,ALB,2866376.0,Europe
243,16/03/2020,16,3,2020,4,0,Albania,AL,ALB,2866376.0,Europe
244,15/03/2020,15,3,2020,5,0,Albania,AL,ALB,2866376.0,Europe
245,14/03/2020,14,3,2020,10,0,Albania,AL,ALB,2866376.0,Europe
246,13/03/2020,13,3,2020,12,0,Albania,AL,ALB,2866376.0,Europe
247,12/03/2020,12,3,2020,1,1,Albania,AL,ALB,2866376.0,Europe
248,11/03/2020,11,3,2020,4,0,Albania,AL,ALB,2866376.0,Europe
249,10/03/2020,10,3,2020,4,0,Albania,AL,ALB,2866376.0,Europe
250,09/03/2020,9,3,2020,2,0,Albania,AL,ALB,2866376.0,Europe
251,12/06/2020,12,6,2020,105,9,Algeria,DZ,DZA,42228429.0,Africa
252,11/06/2020,11,6,2020,102,8,Algeria,DZ,DZA,42228429.0,Africa
253,10/06/2020,10,6,2020,117,9,Algeria,DZ,DZA,42228429.0,Africa
254,09/06/2020,9,6,2020,111,8,Algeria,DZ,DZA,42228429.0,Africa
255,08/06/2020,8,6,2020,104,9,Algeria,DZ,DZA,42228429.0,Africa
256,07/06/2020,7,6,2020,115,8,Algeria,DZ,DZA,42228429.0,Africa
257,06/06/2020,6,6,2020,104,9,Algeria,DZ,DZA,42228429.0,Africa
258,05/06/2020,5,6,2020,205,14,Algeria,DZ,DZA,42228429.0,Africa
259,04/06/2020,4,6,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
260,03/06/2020,3,6,2020,113,6,Algeria,DZ,DZA,42228429.0,Africa
261,02/06/2020,2,6,2020,119,8,Algeria,DZ,DZA,42228429.0,Africa
262,01/06/2020,1,6,2020,127,7,Algeria,DZ,DZA,42228429.0,Africa
263,31/05/2020,31,5,2020,133,8,Algeria,DZ,DZA,42228429.0,Africa
264,30/05/2020,30,5,2020,137,8,Algeria,DZ,DZA,42228429.0,Africa
265,29/05/2020,29,5,2020,140,7,Algeria,DZ,DZA,42228429.0,Africa
266,28/05/2020,28,5,2020,160,6,Algeria,DZ,DZA,42228429.0,Africa
267,27/05/2020,27,5,2020,194,8,Algeria,DZ,DZA,42228429.0,Africa
268,26/05/2020,26,5,2020,197,9,Algeria,DZ,DZA,42228429.0,Africa
269,25/05/2020,25,5,2020,193,8,Algeria,DZ,DZA,42228429.0,Africa
270,24/05/2020,24,5,2020,195,10,Algeria,DZ,DZA,42228429.0,Africa
271,23/05/2020,23,5,2020,190,7,Algeria,DZ,DZA,42228429.0,Africa
272,22/05/2020,22,5,2020,186,7,Algeria,DZ,DZA,42228429.0,Africa
273,21/05/2020,21,5,2020,165,7,Algeria,DZ,DZA,42228429.0,Africa
274,20/05/2020,20,5,2020,176,6,Algeria,DZ,DZA,42228429.0,Africa
275,19/05/2020,19,5,2020,182,7,Algeria,DZ,DZA,42228429.0,Africa
276,18/05/2020,18,5,2020,198,6,Algeria,DZ,DZA,42228429.0,Africa
277,17/05/2020,17,5,2020,192,6,Algeria,DZ,DZA,42228429.0,Africa
278,16/05/2020,16,5,2020,187,7,Algeria,DZ,DZA,42228429.0,Africa
279,15/05/2020,15,5,2020,189,7,Algeria,DZ,DZA,42228429.0,Africa
280,14/05/2020,14,5,2020,186,7,Algeria,DZ,DZA,42228429.0,Africa
281,13/05/2020,13,5,2020,176,8,Algeria,DZ,DZA,42228429.0,Africa
282,12/05/2020,12,5,2020,168,5,Algeria,DZ,DZA,42228429.0,Africa
283,11/05/2020,11,5,2020,165,8,Algeria,DZ,DZA,42228429.0,Africa
284,10/05/2020,10,5,2020,189,6,Algeria,DZ,DZA,42228429.0,Africa
285,09/05/2020,9,5,2020,187,5,Algeria,DZ,DZA,42228429.0,Africa
286,08/05/2020,8,5,2020,185,7,Algeria,DZ,DZA,42228429.0,Africa
287,07/05/2020,7,5,2020,159,6,Algeria,DZ,DZA,42228429.0,Africa
288,06/05/2020,6,5,2020,190,5,Algeria,DZ,DZA,42228429.0,Africa
289,05/05/2020,5,5,2020,174,2,Algeria,DZ,DZA,42228429.0,Africa
290,04/05/2020,4,5,2020,179,4,Algeria,DZ,DZA,42228429.0,Africa
291,03/05/2020,3,5,2020,141,6,Algeria,DZ,DZA,42228429.0,Africa
292,02/05/2020,2,5,2020,148,3,Algeria,DZ,DZA,42228429.0,Africa
293,01/05/2020,1,5,2020,158,6,Algeria,DZ,DZA,42228429.0,Africa
294,30/04/2020,30,4,2020,199,7,Algeria,DZ,DZA,42228429.0,Africa
295,29/04/2020,29,4,2020,132,5,Algeria,DZ,DZA,42228429.0,Africa
296,28/04/2020,28,4,2020,135,7,Algeria,DZ,DZA,42228429.0,Africa
297,27/04/2020,27,4,2020,126,6,Algeria,DZ,DZA,42228429.0,Africa
298,26/04/2020,26,4,2020,129,4,Algeria,DZ,DZA,42228429.0,Africa
299,25/04/2020,25,4,2020,120,8,Algeria,DZ,DZA,42228429.0,Africa
300,24/04/2020,24,4,2020,97,5,Algeria,DZ,DZA,42228429.0,Africa
301,23/04/2020,23,4,2020,99,10,Algeria,DZ,DZA,42228429.0,Africa
302,22/04/2020,22,4,2020,93,8,Algeria,DZ,DZA,42228429.0,Africa
303,21/04/2020,21,4,2020,89,9,Algeria,DZ,DZA,42228429.0,Africa
304,20/04/2020,20,4,2020,94,8,Algeria,DZ,DZA,42228429.0,Africa
305,19/04/2020,19,4,2020,117,3,Algeria,DZ,DZA,42228429.0,Africa
306,18/04/2020,18,4,2020,150,16,Algeria,DZ,DZA,42228429.0,Africa
307,17/04/2020,17,4,2020,108,12,Algeria,DZ,DZA,42228429.0,Africa
308,16/04/2020,16,4,2020,90,11,Algeria,DZ,DZA,42228429.0,Africa
309,15/04/2020,15,4,2020,87,12,Algeria,DZ,DZA,42228429.0,Africa
310,14/04/2020,14,4,2020,69,20,Algeria,DZ,DZA,42228429.0,Africa
311,13/04/2020,13,4,2020,89,18,Algeria,DZ,DZA,42228429.0,Africa
312,12/04/2020,12,4,2020,64,19,Algeria,DZ,DZA,42228429.0,Africa
313,11/04/2020,11,4,2020,95,21,Algeria,DZ,DZA,42228429.0,Africa
314,10/04/2020,10,4,2020,94,30,Algeria,DZ,DZA,42228429.0,Africa
315,09/04/2020,9,4,2020,104,12,Algeria,DZ,DZA,42228429.0,Africa
316,08/04/2020,8,4,2020,45,20,Algeria,DZ,DZA,42228429.0,Africa
317,07/04/2020,7,4,2020,103,21,Algeria,DZ,DZA,42228429.0,Africa
318,06/04/2020,6,4,2020,69,22,Algeria,DZ,DZA,42228429.0,Africa
319,05/04/2020,5,4,2020,80,25,Algeria,DZ,DZA,42228429.0,Africa
320,04/04/2020,4,4,2020,185,42,Algeria,DZ,DZA,42228429.0,Africa
321,03/04/2020,3,4,2020,139,5,Algeria,DZ,DZA,42228429.0,Africa
322,02/04/2020,2,4,2020,131,14,Algeria,DZ,DZA,42228429.0,Africa
323,01/04/2020,1,4,2020,132,9,Algeria,DZ,DZA,42228429.0,Africa
